nome_produtor,cpf_cnpj,whatsapp,url_boleto_file,data_vencimento,Valor
Homer Simpson,117.575.668-52,5511960132300,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"25182,85"
Marge Simpson,123.011.328-77,5511960132301,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"2523,62"
Bart Simpson,126.192.557-74,5511960132302,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"29379,31"
Bart Simpson,126.192.557-74,5511960132303,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"13832,51"
Ned Flanders,000.000.000-00,5511960132304,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"13211,38"
Ned Flanders,000.000.000-00,5511960132305,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"4486,51"
Bart Simpson,126.192.557-74,5511960132306,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"9776,63"
Bart Simpson,126.192.557-74,5511960132307,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"6058,76"
Lisa Simpson,233.221.717-21,5511960132308,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,08/30/23,7520
Lisa Simpson,233.221.717-21,5511960132309,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,08/30/23,13320
Moe Szyslak,000.000.000-00,5511960132310,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"5482,8"
Krusty o Palhaço,000.000.000-00,5511960132311,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,17024
Krusty o Palhaço,000.000.000-00,5511960132312,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"6809,6"
Milhouse Van Houten,000.000.000-00,5511960132313,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,03/30/23,"34733,86"
Ned Flanders,000.000.000-00,5511960132314,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,08/30/23,2300
Ned Flanders,000.000.000-00,5511960132315,https://actana.com.br/wp-content/uploads/site/gerar-boleto-com-codigo-de-barras.png,08/30/23,4400
